Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	LossDC	DeltaLossDC	Entropy	KL	Time
0	-376.7185	98.104744	-182.2615	-578.6757	1000.0	0.0033763412	0.21269028	0.79050756	-0.7588829	5000	-0.009758607	-0.0014575068	1465.168	-274.7824	0.0	0.0	5.510128	0.00014463245	6.43716287612915
1	-356.80722	97.73371	-148.68161	-555.6755	1000.0	-4.228882	2.176576	5.339348	-9.006935	10000	-0.015133448	-0.00088569475	1133.3335	-492.56726	0.0	0.0	5.5062647	0.0001308116	12.691654205322266
2	-354.44598	78.945526	-195.13725	-525.52155	1000.0	-15.030202	1.9777591	10.069269	-17.08542	15000	0.006209284	-0.0008022636	574.84735	-169.34918	0.0	0.0	5.497399	0.00013434057	18.90768527984619
3	-381.44733	81.88159	-212.2398	-550.64685	1000.0	-20.98601	1.5195755	5.1205444	-22.489813	20000	-0.005957514	-0.0004932119	524.4253	-104.663666	0.0	0.0	5.4981885	3.4808665e-05	25.11399221420288
4	-354.64322	71.839874	-182.5638	-496.83456	1000.0	-25.413744	3.0017016	24.23019	-26.928898	25000	-0.0070571005	-0.00057900697	326.97906	-35.265846	0.0	0.0	5.5072203	0.0001165961	31.37444257736206
5	-342.12323	97.4054	-144.62213	-589.99524	1000.0	-28.0686	1.4693617	4.529523	-29.373972	30000	-0.007918447	-0.00039085746	351.17365	-11.741665	0.0	0.0	5.5066504	5.528115e-05	37.630425453186035
6	-348.37082	73.35083	-154.41887	-539.9564	1000.0	-28.770819	3.044921	27.30638	-30.606083	35000	-0.006460041	-0.0003595315	295.32373	-12.873436	0.0	0.0	5.505201	7.490207e-05	43.83202910423279
7	-367.97125	82.09574	-193.28085	-496.12167	1000.0	-29.814013	3.1673825	29.938034	-31.667877	40000	-0.0064501762	-0.00038526673	348.36945	-15.073879	0.0	0.0	5.509225	3.9933126e-05	50.03554725646973
8	-353.40057	75.80727	-236.61311	-502.0365	1000.0	-31.24021	2.7752028	29.30559	-33.153133	45000	-0.0028628223	-0.00036195037	300.62634	-9.303736	0.0	0.0	5.5150394	6.0572696e-05	56.23853135108948
9	-339.8377	92.88518	-138.22687	-514.9618	1000.0	-31.044424	4.0403786	30.436062	-33.643658	50000	0.0043065846	-0.00024103001	299.42664	-12.466612	1.6092234	-0.029569	5.5070868	4.957495e-05	62.60837769508362
10	-366.3124	78.92101	-171.63708	-523.9683	1000.0	-30.237944	4.4685216	27.525724	-33.71921	55000	-0.0006568432	-0.0002554655	320.76038	-18.322344	0.0	0.0	5.5088186	1.8765884e-05	68.80008149147034
11	-345.8056	95.38932	-171.42021	-565.11334	1000.0	-31.782137	4.311429	27.230831	-34.63694	60000	-0.0036678761	-0.00029462017	285.73407	-13.743952	0.0	0.0	5.508685	2.2546174e-05	75.03939366340637
12	-349.14374	72.92975	-190.7037	-484.90405	1000.0	-30.937994	4.114053	25.228134	-34.625675	65000	-0.00048470497	-0.00027956069	297.5238	-13.4623165	0.0	0.0	5.503499	1.690832e-05	81.34605860710144
13	-336.8167	81.25792	-158.30826	-502.64377	1000.0	-30.72	4.6621876	31.608002	-34.7546	70000	0.007863402	-0.00027957186	285.34296	-16.166208	0.0	0.0	5.5136404	1.255321e-06	87.55404996871948
14	-337.44632	64.55979	-196.6679	-486.08075	1000.0	-29.563488	5.0700097	21.500128	-34.7137	75000	0.0013291836	-0.00023313239	275.25903	-15.682348	0.0	0.0	5.5079355	-1.1739714e-05	93.71889400482178
15	-364.71075	76.26712	-190.28334	-578.96344	1000.0	-30.1997	4.176999	14.280758	-34.94843	80000	-0.007513523	-0.00026535243	287.57593	-15.474735	0.0	0.0	5.5098734	-1.950188e-05	99.8927493095398
16	-349.0289	76.2112	-130.69528	-501.67288	1000.0	-31.38342	4.427208	16.181517	-35.892914	85000	0.0014638603	-0.0002098605	311.67957	-15.485487	0.0	0.0	5.4949946	1.4602618e-05	106.0937066078186
17	-376.59302	89.69088	-216.84862	-586.16785	1000.0	-31.165997	4.9720073	23.485193	-36.533478	90000	-0.003347665	-0.00029846095	316.188	-26.224892	0.0	0.0	5.5046873	5.5427827e-05	112.28333449363708
18	-378.73297	88.16818	-171.81165	-561.4272	1000.0	-32.09547	5.819042	20.597853	-38.416023	95000	-0.003653571	-0.00023411214	299.53616	-18.91703	0.0	0.0	5.5092072	5.166426e-05	118.5125904083252
19	-331.86984	78.657196	-166.2208	-521.4392	1000.0	-32.79462	5.3471327	31.896002	-39.855053	100000	-0.001671195	-0.00019561872	274.1258	-29.860487	1.581172	-0.030450791	5.4930325	-1.1185966e-05	124.88629198074341
20	-342.90686	64.62397	-225.1938	-479.20752	1000.0	-29.686115	5.215363	10.491125	-39.510525	105000	-0.0039725006	-0.00015076995	274.6237	-17.18002	0.0	0.0	5.526789	-7.4294567e-06	131.06809663772583
21	-373.65057	89.93554	-160.56268	-547.99445	1000.0	-30.301628	6.651165	36.21507	-40.09873	110000	-0.006643206	-0.00019641034	296.61987	-30.166328	0.0	0.0	5.5219574	3.0264055e-05	137.30470323562622
22	-350.56256	74.46762	-215.22052	-521.0129	1000.0	-33.022686	6.1316953	9.612706	-41.434746	115000	0.001534164	-0.00021742284	266.6322	-15.77095	0.0	0.0	5.505171	1.8519027e-05	143.48715376853943
23	-351.5678	75.80268	-215.17404	-547.4832	1000.0	-30.923746	5.9070563	4.829233	-41.573994	120000	0.002818361	-0.00019866973	258.64914	-9.619715	0.0	0.0	5.511347	3.648384e-05	149.71278142929077
24	-347.27765	80.35793	-176.1042	-504.91248	1000.0	-31.093435	6.4459343	35.13293	-41.898716	125000	-0.016713336	-0.00022443477	262.27463	-11.875772	0.0	0.0	5.4982176	8.125347e-06	155.94526553153992
25	-382.58493	88.167274	-198.97609	-530.90106	1000.0	-31.86452	5.9999146	25.59016	-42.344288	130000	-0.0012711287	-0.00027428567	316.0601	-24.145435	0.0	0.0	5.516247	2.7526188e-05	162.17188024520874
26	-344.46747	97.30878	-154.74255	-543.7407	1000.0	-33.333942	7.615023	37.357132	-43.5777	135000	-0.0077991486	-0.00021083653	305.43433	-30.811329	0.0	0.0	5.4955244	-2.46141e-05	168.40046048164368
27	-326.52936	68.89075	-188.64226	-450.19073	1000.0	-30.211952	7.118445	6.000405	-43.71052	140000	0.0071417093	-0.000220472	255.17233	-14.9226	0.0	0.0	5.5035	1.7474375e-05	174.64177179336548
28	-342.81128	84.25197	-178.40366	-541.6052	1000.0	-29.423883	6.6319246	13.284864	-43.61995	145000	-0.0053491145	-0.000188831	269.37128	-13.305239	0.0	0.0	5.5116005	2.3237688e-05	180.88151025772095
29	-350.01865	77.18637	-113.013306	-565.3168	1000.0	-31.32005	6.6179	24.886415	-44.05199	150000	-0.0042026937	-0.00024428964	247.15564	-11.701904	1.5514052	-0.035132796	5.510226	1.8058747e-05	187.28207898139954
30	-326.58774	77.10511	-149.61768	-484.44257	1000.0	-31.155312	6.720957	7.761502	-44.157978	155000	-0.002780974	-0.00018596649	231.46844	-16.76222	0.0	0.0	5.500348	2.3705594e-05	193.50979590415955
31	-336.06134	72.39538	-208.34846	-530.2835	1000.0	-28.999075	6.276615	11.615706	-43.985794	160000	-0.007066235	-0.0002113413	278.78058	-21.221668	0.0	0.0	5.48936	3.3229298e-06	199.68743348121643
32	-343.0159	69.15746	-218.05582	-539.7533	1000.0	-30.60028	7.5206456	39.664795	-44.62835	165000	-0.0154542625	-0.00016772933	286.5395	-21.463474	0.0	0.0	5.4980707	-2.2672759e-05	205.85263514518738
33	-344.15842	82.33615	-161.69609	-571.3911	1000.0	-30.435577	6.2060285	21.152023	-44.66352	170000	-0.010153234	-0.00022756681	272.7406	-16.95173	0.0	0.0	5.504235	3.8361013e-05	212.11285066604614
34	-361.72894	76.287994	-209.75154	-520.3977	1000.0	-31.028513	7.534895	35.609787	-45.22714	175000	-0.01223582	-0.00018298533	274.62778	-24.273962	0.0	0.0	5.502612	-1.3977946e-05	218.36117887496948
35	-353.72574	116.04878	-130.92625	-576.22	1000.0	-31.825712	7.0480943	13.793171	-45.696526	180000	-0.0014106631	-0.00019378215	294.24734	-27.506805	0.0	0.0	5.5028763	-1.1656308e-05	224.59981656074524
36	-337.1586	89.500565	-167.05753	-526.4654	1000.0	-31.143	7.7974606	17.986015	-46.944267	185000	-0.014141053	-0.00025285222	271.8546	-19.759407	0.0	0.0	5.5046177	-2.3754783e-06	230.8458375930786
37	-342.83536	91.16613	-158.40166	-544.88696	1000.0	-30.344843	7.2894335	16.082027	-47.070465	190000	-0.012642801	-0.00021106942	264.36676	-23.461403	0.0	0.0	5.493254	2.8292548e-05	237.16631436347961
38	-343.75732	91.36543	-173.19717	-663.79767	1000.0	-30.520931	7.716761	10.574527	-46.91131	195000	-0.0064576864	-0.0002847016	304.03247	-27.14253	0.0	0.0	5.523386	-3.2576376e-05	243.42900896072388
39	-331.43903	74.521935	-151.68797	-466.28867	1000.0	-30.614988	7.1433234	8.196517	-47.611156	200000	0.008284152	-0.00018848479	266.14783	-16.713392	1.519454	-0.043772936	5.499777	-5.350161e-06	249.82252383232117
40	-336.84894	76.08163	-156.2256	-491.9866	1000.0	-29.685972	7.1553335	6.9024463	-47.076824	205000	0.0030697286	-0.00017109141	247.99136	-14.805472	0.0	0.0	5.5063744	4.3386917e-05	256.0442245006561
